Item_Name, Max_Buy_Order, Market_Value, EV, N_Sales
AK-47 | Bloodsport (Field-Tested), 13025, 13734, 364.64999999999964, 10
AK-47 | B the Monster (Field-Tested), 25864, 27343, 794.4249999999993, 4
