Item_Name, Price
FAMAS | Eye of Athena (Well-Worn), 4.43
FAMAS | Eye of Athena (Battle-Scarred), 3.21
StatTrak™ FAMAS | Eye of Athena (Factory New), 35.11
StatTrak™ FAMAS | Eye of Athena (Minimal Wear), 16.61
StatTrak™ FAMAS | Eye of Athena (Field-Tested), 7.76
StatTrak™ FAMAS | Eye of Athena (Well-Worn), 8.59
StatTrak™ FAMAS | Eye of Athena (Battle-Scarred), 7.34
★ Hydra Gloves | Emerald (Factory New), 290.00
★ Hydra Gloves | Emerald (Minimal Wear), 115.30
★ Hydra Gloves | Emerald (Field-Tested), 70.95
★ Hydra Gloves | Emerald (Well-Worn), 69.04
★ Hydra Gloves | Emerald (Battle-Scarred), 68.30
★ Bowie Knife | Night (Factory New), 319.35
★ Bowie Knife | Night (Minimal Wear), 139.35
★ Bowie Knife | Night (Field-Tested), 119.99
★ Bowie Knife | Night (Well-Worn), 109.55
★ Bowie Knife | Night (Battle-Scarred), 127.00
★ StatTrak™ Bowie Knife | Night (Factory New), 1,500.00
★ StatTrak™ Bowie Knife | Night (Minimal Wear), 199.69
★ StatTrak™ Bowie Knife | Night (Field-Tested), 158.29
★ StatTrak™ Bowie Knife | Night (Well-Worn), 130.00
★ StatTrak™ Bowie Knife | Night (Battle-Scarred), 153.54
★ Talon Knife | Ultraviolet (Factory New), 867.57
★ Talon Knife | Ultraviolet (Minimal Wear), 486.36
★ Talon Knife | Ultraviolet (Field-Tested), 388.51
★ Talon Knife | Ultraviolet (Well-Worn), 366.17
★ Talon Knife | Ultraviolet (Battle-Scarred), 336.54
★ StatTrak™ Talon Knife | Ultraviolet (Factory New), 0
★ StatTrak™ Talon Knife | Ultraviolet (Minimal Wear), 465.41
★ StatTrak™ Talon Knife | Ultraviolet (Field-Tested), 380.54
★ StatTrak™ Talon Knife | Ultraviolet (Well-Worn), 352.47
★ StatTrak™ Talon Knife | Ultraviolet (Battle-Scarred), 351.33
★ Kukri Knife | Safari Mesh (Factory New), 207.99
★ Kukri Knife | Safari Mesh (Minimal Wear), 142.14
★ Kukri Knife | Safari Mesh (Field-Tested), 140.60
★ Kukri Knife | Safari Mesh (Well-Worn), 125.11
★ Kukri Knife | Safari Mesh (Battle-Scarred), 129.17
★ StatTrak™ Kukri Knife | Safari Mesh (Factory New), 299.45
★ StatTrak™ Kukri Knife | Safari Mesh (Minimal Wear), 140.12
★ StatTrak™ Kukri Knife | Safari Mesh (Field-Tested), 128.95
★ StatTrak™ Kukri Knife | Safari Mesh (Well-Worn), 126.47
★ StatTrak™ Kukri Knife | Safari Mesh (Battle-Scarred), 131.07
★ Stiletto Knife | Crimson Web (Factory New), 1,344.30
★ Stiletto Knife | Crimson Web (Minimal Wear), 477.73
★ Stiletto Knife | Crimson Web (Field-Tested), 359.89
★ Stiletto Knife | Crimson Web (Well-Worn), 328.53
★ Stiletto Knife | Crimson Web (Battle-Scarred), 278.49
★ StatTrak™ Stiletto Knife | Crimson Web (Factory New), 0
★ StatTrak™ Stiletto Knife | Crimson Web (Minimal Wear), 465.35
★ StatTrak™ Stiletto Knife | Crimson Web (Field-Tested), 359.46
★ StatTrak™ Stiletto Knife | Crimson Web (Well-Worn), 342.08
★ StatTrak™ Stiletto Knife | Crimson Web (Battle-Scarred), 301.68
★ Stiletto Knife | Boreal Forest (Factory New), 246.26
★ Stiletto Knife | Boreal Forest (Minimal Wear), 198.48
★ Stiletto Knife | Boreal Forest (Field-Tested), 191.46
★ Stiletto Knife | Boreal Forest (Well-Worn), 184.73
★ Stiletto Knife | Boreal Forest (Battle-Scarred), 184.11
★ StatTrak™ Stiletto Knife | Boreal Forest (Factory New), 350.00
★ StatTrak™ Stiletto Knife | Boreal Forest (Minimal Wear), 210.53
★ StatTrak™ Stiletto Knife | Boreal Forest (Field-Tested), 187.07
★ StatTrak™ Stiletto Knife | Boreal Forest (Well-Worn), 184.79
