Item_Name, Price
★ Butterfly Knife | Lore (Well-Worn), 985.59
★ Butterfly Knife | Lore (Battle-Scarred), 862.25
★ StatTrak™ Butterfly Knife | Lore (Factory New), 4,038.19
★ StatTrak™ Butterfly Knife | Lore (Minimal Wear), 1,753.25
★ StatTrak™ Butterfly Knife | Lore (Field-Tested), 1,184.62
★ StatTrak™ Butterfly Knife | Lore (Well-Worn), 1,026.65
★ StatTrak™ Butterfly Knife | Lore (Battle-Scarred), 862.39
★ Hydra Gloves | Case Hardened (Factory New), 496.90
★ Hydra Gloves | Case Hardened (Minimal Wear), 165.54
★ Hydra Gloves | Case Hardened (Field-Tested), 119.88
★ Hydra Gloves | Case Hardened (Well-Worn), 112.61
★ Hydra Gloves | Case Hardened (Battle-Scarred), 109.51
M4A4 | Tooth Fairy (Factory New), 8.44
M4A4 | Tooth Fairy (Minimal Wear), 4.61
M4A4 | Tooth Fairy (Field-Tested), 2.62
M4A4 | Tooth Fairy (Well-Worn), 2.80
M4A4 | Tooth Fairy (Battle-Scarred), 2.58
StatTrak™ M4A4 | Tooth Fairy (Factory New), 16.15
StatTrak™ M4A4 | Tooth Fairy (Minimal Wear), 8.68
StatTrak™ M4A4 | Tooth Fairy (Field-Tested), 4.88
StatTrak™ M4A4 | Tooth Fairy (Well-Worn), 5.48
StatTrak™ M4A4 | Tooth Fairy (Battle-Scarred), 4.13
★ Ursus Knife | Night Stripe (Factory New), 259.00
★ Ursus Knife | Night Stripe (Minimal Wear), 143.04
★ Ursus Knife | Night Stripe (Field-Tested), 130.00
★ Ursus Knife | Night Stripe (Well-Worn), 124.30
★ Ursus Knife | Night Stripe (Battle-Scarred), 120.68
★ StatTrak™ Ursus Knife | Night Stripe (Factory New), 1,250.00
★ StatTrak™ Ursus Knife | Night Stripe (Minimal Wear), 149.20
★ StatTrak™ Ursus Knife | Night Stripe (Field-Tested), 133.00
★ StatTrak™ Ursus Knife | Night Stripe (Well-Worn), 0
★ StatTrak™ Ursus Knife | Night Stripe (Battle-Scarred), 130.04
★ Broken Fang Gloves | Needle Point (Factory New), 342.21
★ Broken Fang Gloves | Needle Point (Minimal Wear), 123.13
★ Broken Fang Gloves | Needle Point (Field-Tested), 92.39
★ Broken Fang Gloves | Needle Point (Well-Worn), 88.97
★ Broken Fang Gloves | Needle Point (Battle-Scarred), 85.60
Glock-18 | High Beam (Factory New), 0.09
Glock-18 | High Beam (Minimal Wear), 0.11
Glock-18 | High Beam (Souvenir Factory New), 1.24
Glock-18 | High Beam (Souvenir Minimal Wear), 2.66
MP9 | Green Plaid (Factory New), 4.39
MP9 | Green Plaid (Minimal Wear), 3.45
MP9 | Green Plaid (Field-Tested), 2.82
MP9 | Green Plaid (Well-Worn), 4.50
MP9 | Green Plaid (Battle-Scarred), 5.09
★ Stiletto Knife | Case Hardened (Factory New), 543.93
★ Stiletto Knife | Case Hardened (Minimal Wear), 403.23
★ Stiletto Knife | Case Hardened (Field-Tested), 362.06
★ Stiletto Knife | Case Hardened (Well-Worn), 314.63
★ Stiletto Knife | Case Hardened (Battle-Scarred), 300.56
★ StatTrak™ Stiletto Knife | Case Hardened (Factory New), 516.82
★ StatTrak™ Stiletto Knife | Case Hardened (Minimal Wear), 384.58
★ StatTrak™ Stiletto Knife | Case Hardened (Field-Tested), 352.48
★ StatTrak™ Stiletto Knife | Case Hardened (Well-Worn), 335.30
★ StatTrak™ Stiletto Knife | Case Hardened (Battle-Scarred), 314.84
★ Butterfly Knife | Freehand (Factory New), 1,108.77
★ Butterfly Knife | Freehand (Minimal Wear), 1,035.95
★ Butterfly Knife | Freehand (Field-Tested), 965.05
★ Butterfly Knife | Freehand (Well-Worn), 862.39
★ Butterfly Knife | Freehand (Battle-Scarred), 845.00
★ StatTrak™ Butterfly Knife | Freehand (Factory New), 1,094.62
★ StatTrak™ Butterfly Knife | Freehand (Minimal Wear), 1,046.50
★ StatTrak™ Butterfly Knife | Freehand (Field-Tested), 958.21
★ StatTrak™ Butterfly Knife | Freehand (Well-Worn), 0
★ StatTrak™ Butterfly Knife | Freehand (Battle-Scarred), 930.83
★ Driver Gloves | King Snake (Factory New), 6,736.59
★ Driver Gloves | King Snake (Minimal Wear), 1,178.74
★ Driver Gloves | King Snake (Field-Tested), 318.31
★ Driver Gloves | King Snake (Well-Worn), 240.00
★ Driver Gloves | King Snake (Battle-Scarred), 175.74
Desert Eagle | Starcade (Factory New), 155.36
Desert Eagle | Starcade (Minimal Wear), 114.43
Desert Eagle | Starcade (Field-Tested), 78.00
Desert Eagle | Starcade (Well-Worn), 65.29
Desert Eagle | Starcade (Battle-Scarred), 42.93
★ Falchion Knife | Safari Mesh (Factory New), 159.24
★ Falchion Knife | Safari Mesh (Minimal Wear), 127.03
★ Falchion Knife | Safari Mesh (Field-Tested), 118.89
★ Falchion Knife | Safari Mesh (Well-Worn), 105.59
★ Falchion Knife | Safari Mesh (Battle-Scarred), 117.63
★ StatTrak™ Falchion Knife | Safari Mesh (Factory New), 0
★ StatTrak™ Falchion Knife | Safari Mesh (Minimal Wear), 123.00
★ StatTrak™ Falchion Knife | Safari Mesh (Field-Tested), 118.94
★ StatTrak™ Falchion Knife | Safari Mesh (Well-Worn), 167.71
★ StatTrak™ Falchion Knife | Safari Mesh (Battle-Scarred), 120.59
AWP | Elite Build (Factory New), 28.57
AWP | Elite Build (Minimal Wear), 18.87
AWP | Elite Build (Field-Tested), 15.18
AWP | Elite Build (Well-Worn), 13.78
AWP | Elite Build (Battle-Scarred), 12.95
StatTrak™ AWP | Elite Build (Factory New), 71.16
StatTrak™ AWP | Elite Build (Minimal Wear), 37.08
StatTrak™ AWP | Elite Build (Field-Tested), 26.54
StatTrak™ AWP | Elite Build (Well-Worn), 26.56
StatTrak™ AWP | Elite Build (Battle-Scarred), 28.04
★ Bayonet | Doppler (Factory New), 610.00
★ Bayonet | Doppler (Minimal Wear), 625.00
★ StatTrak™ Bayonet | Doppler (Factory New), 603.40
★ StatTrak™ Bayonet | Doppler (Minimal Wear), 609.69
MP9 | Dart (Factory New), 0.69
MP9 | Dart (Minimal Wear), 0.50
MP9 | Dart (Field-Tested), 0.37
MP9 | Dart (Well-Worn), 0.39
MP9 | Dart (Battle-Scarred), 1.56
StatTrak™ MP9 | Dart (Factory New), 2.13
StatTrak™ MP9 | Dart (Minimal Wear), 1.48
StatTrak™ MP9 | Dart (Field-Tested), 1.04
StatTrak™ MP9 | Dart (Well-Worn), 1.73
StatTrak™ MP9 | Dart (Battle-Scarred), 14.85
★ Navaja Knife | Blue Steel (Factory New), 142.20
★ Navaja Knife | Blue Steel (Minimal Wear), 106.77
★ Navaja Knife | Blue Steel (Field-Tested), 100.73
★ Navaja Knife | Blue Steel (Well-Worn), 99.50
★ Navaja Knife | Blue Steel (Battle-Scarred), 97.91
★ StatTrak™ Navaja Knife | Blue Steel (Factory New), 136.81
★ StatTrak™ Navaja Knife | Blue Steel (Minimal Wear), 105.46
★ StatTrak™ Navaja Knife | Blue Steel (Field-Tested), 106.77
★ StatTrak™ Navaja Knife | Blue Steel (Well-Worn), 121.20
★ StatTrak™ Navaja Knife | Blue Steel (Battle-Scarred), 147.63
★ Broken Fang Gloves | Jade (Factory New), 629.99
★ Broken Fang Gloves | Jade (Minimal Wear), 187.11
★ Broken Fang Gloves | Jade (Field-Tested), 126.43
★ Broken Fang Gloves | Jade (Well-Worn), 116.90
★ Broken Fang Gloves | Jade (Battle-Scarred), 112.99
MAC-10 | Pipsqueak (Factory New), 3.56
MAC-10 | Pipsqueak (Minimal Wear), 1.28
MAC-10 | Pipsqueak (Field-Tested), 0.79
MAC-10 | Pipsqueak (Well-Worn), 0.73
MAC-10 | Pipsqueak (Battle-Scarred), 0.61
★ Flip Knife | Damascus Steel (Factory New), 229.15
★ Flip Knife | Damascus Steel (Minimal Wear), 215.50
★ Flip Knife | Damascus Steel (Field-Tested), 202.07
★ Flip Knife | Damascus Steel (Well-Worn), 189.90
★ Flip Knife | Damascus Steel (Battle-Scarred), 185.72
★ StatTrak™ Flip Knife | Damascus Steel (Factory New), 236.95
★ StatTrak™ Flip Knife | Damascus Steel (Minimal Wear), 205.33
★ StatTrak™ Flip Knife | Damascus Steel (Field-Tested), 191.98
★ StatTrak™ Flip Knife | Damascus Steel (Well-Worn), 191.57
★ StatTrak™ Flip Knife | Damascus Steel (Battle-Scarred), 228.14
AUG | Midnight Lily (Factory New), 358.77
AUG | Midnight Lily (Minimal Wear), 328.00
AUG | Midnight Lily (Field-Tested), 331.26
AUG | Midnight Lily (Well-Worn), 700.00
AUG | Midnight Lily (Battle-Scarred), 413.38
AK-47 | Wasteland Rebel (Factory New), 195.56
AK-47 | Wasteland Rebel (Minimal Wear), 45.37
AK-47 | Wasteland Rebel (Field-Tested), 27.09
AK-47 | Wasteland Rebel (Well-Worn), 35.11
AK-47 | Wasteland Rebel (Battle-Scarred), 28.10
StatTrak™ AK-47 | Wasteland Rebel (Factory New), 1,052.60
StatTrak™ AK-47 | Wasteland Rebel (Minimal Wear), 119.90
StatTrak™ AK-47 | Wasteland Rebel (Field-Tested), 90.05
StatTrak™ AK-47 | Wasteland Rebel (Well-Worn), 109.00
StatTrak™ AK-47 | Wasteland Rebel (Battle-Scarred), 103.08
MP9 | Wild Lily (Factory New), 2,433.45
MP9 | Wild Lily (Minimal Wear), 2,350.00
MP9 | Wild Lily (Field-Tested), 1,831.26
MP9 | Wild Lily (Well-Worn), 0
MP9 | Wild Lily (Battle-Scarred), 1,397.87
★ Gut Knife | Slaughter (Factory New), 176.39
★ Gut Knife | Slaughter (Minimal Wear), 159.55
★ Gut Knife | Slaughter (Field-Tested), 138.00
★ StatTrak™ Gut Knife | Slaughter (Factory New), 204.00
★ StatTrak™ Gut Knife | Slaughter (Minimal Wear), 175.00
★ StatTrak™ Gut Knife | Slaughter (Field-Tested), 168.67
★ Talon Knife | Blue Steel (Factory New), 581.77
★ Talon Knife | Blue Steel (Minimal Wear), 517.43
★ Talon Knife | Blue Steel (Field-Tested), 484.46
★ Talon Knife | Blue Steel (Well-Worn), 446.75
★ Talon Knife | Blue Steel (Battle-Scarred), 446.75
★ StatTrak™ Talon Knife | Blue Steel (Factory New), 890.00
★ StatTrak™ Talon Knife | Blue Steel (Minimal Wear), 485.95
★ StatTrak™ Talon Knife | Blue Steel (Field-Tested), 465.28
★ StatTrak™ Talon Knife | Blue Steel (Well-Worn), 451.72
★ StatTrak™ Talon Knife | Blue Steel (Battle-Scarred), 423.54
USP-S | Whiteout (Factory New), 208.52
USP-S | Whiteout (Minimal Wear), 47.60
USP-S | Whiteout (Field-Tested), 30.49
USP-S | Whiteout (Well-Worn), 27.84
USP-S | Whiteout (Battle-Scarred), 28.35
AK-47 | Emerald Pinstripe (Factory New), 7.36
AK-47 | Emerald Pinstripe (Minimal Wear), 4.13
AK-47 | Emerald Pinstripe (Field-Tested), 2.70
AK-47 | Emerald Pinstripe (Well-Worn), 2.53
AK-47 | Emerald Pinstripe (Battle-Scarred), 2.48
★ Bayonet | Autotronic (Factory New), 707.16
★ Bayonet | Autotronic (Minimal Wear), 518.05
★ Bayonet | Autotronic (Field-Tested), 425.60
★ Bayonet | Autotronic (Well-Worn), 429.00
★ Bayonet | Autotronic (Battle-Scarred), 364.07
★ StatTrak™ Bayonet | Autotronic (Factory New), 732.35
★ StatTrak™ Bayonet | Autotronic (Minimal Wear), 516.06
★ StatTrak™ Bayonet | Autotronic (Field-Tested), 430.00
★ StatTrak™ Bayonet | Autotronic (Well-Worn), 876.15
★ StatTrak™ Bayonet | Autotronic (Battle-Scarred), 367.76
★ Ursus Knife | Urban Masked (Factory New), 289.99
★ Ursus Knife | Urban Masked (Minimal Wear), 134.00
★ Ursus Knife | Urban Masked (Field-Tested), 127.30
★ Ursus Knife | Urban Masked (Well-Worn), 124.49
★ Ursus Knife | Urban Masked (Battle-Scarred), 120.53
★ StatTrak™ Ursus Knife | Urban Masked (Factory New), 495.81
★ StatTrak™ Ursus Knife | Urban Masked (Minimal Wear), 138.94
★ StatTrak™ Ursus Knife | Urban Masked (Field-Tested), 127.37
★ StatTrak™ Ursus Knife | Urban Masked (Well-Worn), 127.30
★ StatTrak™ Ursus Knife | Urban Masked (Battle-Scarred), 126.62
M4A4 | Faded Zebra (Factory New), 17.45
M4A4 | Faded Zebra (Minimal Wear), 5.08
M4A4 | Faded Zebra (Field-Tested), 4.93
M4A4 | Faded Zebra (Well-Worn), 5.46
M4A4 | Faded Zebra (Battle-Scarred), 5.38
StatTrak™ M4A4 | Faded Zebra (Factory New), 68.42
StatTrak™ M4A4 | Faded Zebra (Minimal Wear), 6.18
StatTrak™ M4A4 | Faded Zebra (Field-Tested), 3.58
StatTrak™ M4A4 | Faded Zebra (Well-Worn), 4.30
StatTrak™ M4A4 | Faded Zebra (Battle-Scarred), 4.06
M4A4 | Poseidon (Factory New), 1,067.30
M4A4 | Poseidon (Minimal Wear), 826.52
M4A4 | Poseidon (Field-Tested), 768.00
★ Bowie Knife | Damascus Steel (Factory New), 169.74
★ Bowie Knife | Damascus Steel (Minimal Wear), 153.23
★ Bowie Knife | Damascus Steel (Field-Tested), 140.44
★ Bowie Knife | Damascus Steel (Well-Worn), 134.00
★ Bowie Knife | Damascus Steel (Battle-Scarred), 138.07
★ StatTrak™ Bowie Knife | Damascus Steel (Factory New), 213.40
★ StatTrak™ Bowie Knife | Damascus Steel (Minimal Wear), 163.21
★ StatTrak™ Bowie Knife | Damascus Steel (Field-Tested), 150.38
★ StatTrak™ Bowie Knife | Damascus Steel (Well-Worn), 164.56
★ StatTrak™ Bowie Knife | Damascus Steel (Battle-Scarred), 152.08
MAC-10 | Ensnared (Factory New), 0.24
MAC-10 | Ensnared (Minimal Wear), 0.08
MAC-10 | Ensnared (Field-Tested), 0.04
MAC-10 | Ensnared (Well-Worn), 0.03
MAC-10 | Ensnared (Battle-Scarred), 0.04
StatTrak™ MAC-10 | Ensnared (Factory New), 0.96
StatTrak™ MAC-10 | Ensnared (Minimal Wear), 0.22
StatTrak™ MAC-10 | Ensnared (Field-Tested), 0.10
StatTrak™ MAC-10 | Ensnared (Well-Worn), 0.10
StatTrak™ MAC-10 | Ensnared (Battle-Scarred), 0.12
★ Falchion Knife | Doppler (Factory New), 408.33
★ Falchion Knife | Doppler (Minimal Wear), 414.25
★ StatTrak™ Falchion Knife | Doppler (Factory New), 441.06
★ StatTrak™ Falchion Knife | Doppler (Minimal Wear), 609.23
MP9 | Dry Season (Factory New), 33.81
MP9 | Dry Season (Minimal Wear), 3.10
MP9 | Dry Season (Field-Tested), 3.25
MP9 | Dry Season (Well-Worn), 6.22
MP9 | Dry Season (Battle-Scarred), 3.31
FAMAS | Waters of Nephthys (Factory New), 90.21
FAMAS | Waters of Nephthys (Minimal Wear), 64.01
FAMAS | Waters of Nephthys (Field-Tested), 31.75
FAMAS | Waters of Nephthys (Well-Worn), 26.10
FAMAS | Waters of Nephthys (Battle-Scarred), 24.65
FAMAS | Waters of Nephthys (Souvenir Factory New), 189.71
FAMAS | Waters of Nephthys (Souvenir Minimal Wear), 66.80
FAMAS | Waters of Nephthys (Souvenir Field-Tested), 34.63
FAMAS | Waters of Nephthys (Souvenir Well-Worn), 36.63
FAMAS | Waters of Nephthys (Souvenir Battle-Scarred), 31.22
★ Paracord Knife | Forest DDPAT (Factory New), 177.95
★ Paracord Knife | Forest DDPAT (Minimal Wear), 122.33
★ Paracord Knife | Forest DDPAT (Field-Tested), 122.63
★ Paracord Knife | Forest DDPAT (Well-Worn), 115.02
★ Paracord Knife | Forest DDPAT (Battle-Scarred), 109.21
★ StatTrak™ Paracord Knife | Forest DDPAT (Factory New), 396.76
★ StatTrak™ Paracord Knife | Forest DDPAT (Minimal Wear), 150.00
★ StatTrak™ Paracord Knife | Forest DDPAT (Field-Tested), 114.58
★ StatTrak™ Paracord Knife | Forest DDPAT (Well-Worn), 722.81
★ StatTrak™ Paracord Knife | Forest DDPAT (Battle-Scarred), 120.00
★ Stiletto Knife | Damascus Steel (Factory New), 340.85
★ Stiletto Knife | Damascus Steel (Minimal Wear), 322.05
★ Stiletto Knife | Damascus Steel (Field-Tested), 299.39
★ Stiletto Knife | Damascus Steel (Well-Worn), 280.20
★ Stiletto Knife | Damascus Steel (Battle-Scarred), 269.79
★ StatTrak™ Stiletto Knife | Damascus Steel (Factory New), 337.83
★ StatTrak™ Stiletto Knife | Damascus Steel (Minimal Wear), 313.19
★ StatTrak™ Stiletto Knife | Damascus Steel (Field-Tested), 277.85
★ StatTrak™ Stiletto Knife | Damascus Steel (Well-Worn), 278.99
★ StatTrak™ Stiletto Knife | Damascus Steel (Battle-Scarred), 287.46
MP9 | Capillary (Factory New), 0.69
MP9 | Capillary (Minimal Wear), 0.39
MP9 | Capillary (Field-Tested), 0.19
MP9 | Capillary (Well-Worn), 0.25
MP9 | Capillary (Battle-Scarred), 0.16
StatTrak™ MP9 | Capillary (Factory New), 2.29
StatTrak™ MP9 | Capillary (Minimal Wear), 0.89
StatTrak™ MP9 | Capillary (Field-Tested), 0.50
StatTrak™ MP9 | Capillary (Well-Worn), 0.75
StatTrak™ MP9 | Capillary (Battle-Scarred), 0.34
★ Talon Knife | Urban Masked (Factory New), 420.00
★ Talon Knife | Urban Masked (Minimal Wear), 335.43
★ Talon Knife | Urban Masked (Field-Tested), 298.15
★ Talon Knife | Urban Masked (Well-Worn), 281.92
★ Talon Knife | Urban Masked (Battle-Scarred), 267.61
★ StatTrak™ Talon Knife | Urban Masked (Factory New), 903.91
★ StatTrak™ Talon Knife | Urban Masked (Minimal Wear), 342.21
★ StatTrak™ Talon Knife | Urban Masked (Field-Tested), 306.12
★ StatTrak™ Talon Knife | Urban Masked (Well-Worn), 0
★ StatTrak™ Talon Knife | Urban Masked (Battle-Scarred), 301.15
AUG | Aristocrat (Factory New), 2.13
AUG | Aristocrat (Minimal Wear), 1.01
AUG | Aristocrat (Field-Tested), 0.47
AUG | Aristocrat (Well-Worn), 0.65
AUG | Aristocrat (Battle-Scarred), 0.54
StatTrak™ AUG | Aristocrat (Factory New), 5.35
StatTrak™ AUG | Aristocrat (Minimal Wear), 2.68
StatTrak™ AUG | Aristocrat (Field-Tested), 1.17
StatTrak™ AUG | Aristocrat (Well-Worn), 1.71
StatTrak™ AUG | Aristocrat (Battle-Scarred), 1.10
MP9 | Sand Scale (Factory New), 0.25
MP9 | Sand Scale (Minimal Wear), 0.13
MP9 | Sand Scale (Field-Tested), 0.11
MP9 | Sand Scale (Well-Worn), 0.15
StatTrak™ MP9 | Sand Scale (Factory New), 0.85
StatTrak™ MP9 | Sand Scale (Minimal Wear), 0.57
StatTrak™ MP9 | Sand Scale (Field-Tested), 0.32
StatTrak™ MP9 | Sand Scale (Well-Worn), 0.40
★ M9 Bayonet | Black Laminate (Factory New), 957.74
★ M9 Bayonet | Black Laminate (Minimal Wear), 844.01
★ M9 Bayonet | Black Laminate (Field-Tested), 828.80
★ M9 Bayonet | Black Laminate (Well-Worn), 779.98
★ M9 Bayonet | Black Laminate (Battle-Scarred), 777.52
★ StatTrak™ M9 Bayonet | Black Laminate (Factory New), 985.59
★ StatTrak™ M9 Bayonet | Black Laminate (Minimal Wear), 789.29
★ StatTrak™ M9 Bayonet | Black Laminate (Field-Tested), 737.05
★ StatTrak™ M9 Bayonet | Black Laminate (Well-Worn), 738.98
★ StatTrak™ M9 Bayonet | Black Laminate (Battle-Scarred), 743.71
FAMAS | Sergeant (Minimal Wear), 6.70
FAMAS | Sergeant (Field-Tested), 3.06
FAMAS | Sergeant (Well-Worn), 2.22
FAMAS | Sergeant (Battle-Scarred), 2.81
StatTrak™ FAMAS | Sergeant (Minimal Wear), 12.93
StatTrak™ FAMAS | Sergeant (Field-Tested), 5.20
StatTrak™ FAMAS | Sergeant (Well-Worn), 4.05
StatTrak™ FAMAS | Sergeant (Battle-Scarred), 3.31
★ Falchion Knife | Damascus Steel (Factory New), 170.83
★ Falchion Knife | Damascus Steel (Minimal Wear), 153.75
★ Falchion Knife | Damascus Steel (Field-Tested), 138.66
★ Falchion Knife | Damascus Steel (Well-Worn), 136.88
★ Falchion Knife | Damascus Steel (Battle-Scarred), 140.99
★ StatTrak™ Falchion Knife | Damascus Steel (Factory New), 184.58
★ StatTrak™ Falchion Knife | Damascus Steel (Minimal Wear), 170.90
★ StatTrak™ Falchion Knife | Damascus Steel (Field-Tested), 143.28
★ StatTrak™ Falchion Knife | Damascus Steel (Well-Worn), 247.16
★ StatTrak™ Falchion Knife | Damascus Steel (Battle-Scarred), 185.00
★ Survival Knife | Stained (Factory New), 152.03
★ Survival Knife | Stained (Minimal Wear), 130.68
★ Survival Knife | Stained (Field-Tested), 125.23
★ Survival Knife | Stained (Well-Worn), 121.24
★ Survival Knife | Stained (Battle-Scarred), 114.58
★ StatTrak™ Survival Knife | Stained (Factory New), 0
★ StatTrak™ Survival Knife | Stained (Minimal Wear), 177.95
★ StatTrak™ Survival Knife | Stained (Field-Tested), 114.83
★ StatTrak™ Survival Knife | Stained (Well-Worn), 133.99
★ StatTrak™ Survival Knife | Stained (Battle-Scarred), 145.28
★ Huntsman Knife | Safari Mesh (Factory New), 258.99
★ Huntsman Knife | Safari Mesh (Minimal Wear), 113.56
★ Huntsman Knife | Safari Mesh (Field-Tested), 112.58
★ Huntsman Knife | Safari Mesh (Well-Worn), 121.11
★ Huntsman Knife | Safari Mesh (Battle-Scarred), 120.42
★ StatTrak™ Huntsman Knife | Safari Mesh (Factory New), 0
★ StatTrak™ Huntsman Knife | Safari Mesh (Minimal Wear), 124.31
★ StatTrak™ Huntsman Knife | Safari Mesh (Field-Tested), 116.23
★ StatTrak™ Huntsman Knife | Safari Mesh (Well-Worn), 155.71
★ StatTrak™ Huntsman Knife | Safari Mesh (Battle-Scarred), 186.60
★ Bowie Knife | Crimson Web (Factory New), 2,053.31
★ Bowie Knife | Crimson Web (Minimal Wear), 259.95
★ Bowie Knife | Crimson Web (Field-Tested), 180.23
★ Bowie Knife | Crimson Web (Well-Worn), 167.77
★ Bowie Knife | Crimson Web (Battle-Scarred), 287.31
★ StatTrak™ Bowie Knife | Crimson Web (Factory New), 5,200.00
★ StatTrak™ Bowie Knife | Crimson Web (Minimal Wear), 328.40
★ StatTrak™ Bowie Knife | Crimson Web (Field-Tested), 214.99
★ StatTrak™ Bowie Knife | Crimson Web (Well-Worn), 244.49
★ StatTrak™ Bowie Knife | Crimson Web (Battle-Scarred), 414.92
Desert Eagle | Calligraffiti (Factory New), 0.83
Desert Eagle | Calligraffiti (Minimal Wear), 0.29
Desert Eagle | Calligraffiti (Field-Tested), 0.14
Desert Eagle | Calligraffiti (Well-Worn), 0.10
Desert Eagle | Calligraffiti (Battle-Scarred), 0.10
StatTrak™ Desert Eagle | Calligraffiti (Factory New), 4.65
StatTrak™ Desert Eagle | Calligraffiti (Minimal Wear), 1.05
StatTrak™ Desert Eagle | Calligraffiti (Field-Tested), 0.50
StatTrak™ Desert Eagle | Calligraffiti (Well-Worn), 0.45
StatTrak™ Desert Eagle | Calligraffiti (Battle-Scarred), 0.45
AK-47 | Crossfade (Factory New), 3.95
AK-47 | Crossfade (Minimal Wear), 2.60
AK-47 | Crossfade (Field-Tested), 1.82
AK-47 | Crossfade (Well-Worn), 2.05
AK-47 | Crossfade (Battle-Scarred), 1.75
AUG | Hot Rod (Factory New), 366.16
AUG | Hot Rod (Minimal Wear), 421.05
★ Bowie Knife | Urban Masked (Factory New), 223.50
★ Bowie Knife | Urban Masked (Minimal Wear), 123.28
★ Bowie Knife | Urban Masked (Field-Tested), 120.53
★ Bowie Knife | Urban Masked (Well-Worn), 112.56
★ Bowie Knife | Urban Masked (Battle-Scarred), 112.20
★ StatTrak™ Bowie Knife | Urban Masked (Factory New), 0
★ StatTrak™ Bowie Knife | Urban Masked (Minimal Wear), 188.90
★ StatTrak™ Bowie Knife | Urban Masked (Field-Tested), 124.56
★ StatTrak™ Bowie Knife | Urban Masked (Well-Worn), 127.16
★ StatTrak™ Bowie Knife | Urban Masked (Battle-Scarred), 148.75
★ Gut Knife | Night (Factory New), 1,368.87
★ Gut Knife | Night (Minimal Wear), 109.50
★ Gut Knife | Night (Field-Tested), 109.00
★ Gut Knife | Night (Well-Worn), 104.56
★ Gut Knife | Night (Battle-Scarred), 107.45
★ StatTrak™ Gut Knife | Night (Factory New), 0
★ StatTrak™ Gut Knife | Night (Minimal Wear), 153.48
★ StatTrak™ Gut Knife | Night (Field-Tested), 113.80
★ StatTrak™ Gut Knife | Night (Well-Worn), 141.44
★ StatTrak™ Gut Knife | Night (Battle-Scarred), 156.23
MAC-10 | Nuclear Garden (Factory New), 9.46
MAC-10 | Nuclear Garden (Minimal Wear), 6.96
MAC-10 | Nuclear Garden (Field-Tested), 5.92
MAC-10 | Nuclear Garden (Well-Worn), 6.78
MAC-10 | Nuclear Garden (Battle-Scarred), 5.47
MAC-10 | Nuclear Garden (Souvenir Factory New), 30.86
MAC-10 | Nuclear Garden (Souvenir Minimal Wear), 11.60
MAC-10 | Nuclear Garden (Souvenir Field-Tested), 6.70
MAC-10 | Nuclear Garden (Souvenir Well-Worn), 8.17
MAC-10 | Nuclear Garden (Souvenir Battle-Scarred), 3.89
★ Navaja Knife | Boreal Forest (Factory New), 131.80
★ Navaja Knife | Boreal Forest (Minimal Wear), 98.50
★ Navaja Knife | Boreal Forest (Field-Tested), 90.09
★ Navaja Knife | Boreal Forest (Well-Worn), 89.74
★ Navaja Knife | Boreal Forest (Battle-Scarred), 87.33
★ StatTrak™ Navaja Knife | Boreal Forest (Factory New), 248.62
★ StatTrak™ Navaja Knife | Boreal Forest (Minimal Wear), 108.42
★ StatTrak™ Navaja Knife | Boreal Forest (Field-Tested), 93.01
★ StatTrak™ Navaja Knife | Boreal Forest (Well-Worn), 109.15
★ StatTrak™ Navaja Knife | Boreal Forest (Battle-Scarred), 95.80
Desert Eagle | Blue Ply (Factory New), 1.37
Desert Eagle | Blue Ply (Minimal Wear), 0.32
Desert Eagle | Blue Ply (Field-Tested), 0.17
Desert Eagle | Blue Ply (Well-Worn), 0.13
Desert Eagle | Blue Ply (Battle-Scarred), 0.15
StatTrak™ Desert Eagle | Blue Ply (Factory New), 6.26
StatTrak™ Desert Eagle | Blue Ply (Minimal Wear), 1.39
StatTrak™ Desert Eagle | Blue Ply (Field-Tested), 0.77
StatTrak™ Desert Eagle | Blue Ply (Well-Worn), 0.61
StatTrak™ Desert Eagle | Blue Ply (Battle-Scarred), 0.59
★ Falchion Knife | Bright Water (Factory New), 138.32
★ Falchion Knife | Bright Water (Minimal Wear), 132.57
★ Falchion Knife | Bright Water (Field-Tested), 127.59
★ Falchion Knife | Bright Water (Well-Worn), 124.45
★ Falchion Knife | Bright Water (Battle-Scarred), 118.94
★ StatTrak™ Falchion Knife | Bright Water (Factory New), 154.71
★ StatTrak™ Falchion Knife | Bright Water (Minimal Wear), 143.59
★ StatTrak™ Falchion Knife | Bright Water (Field-Tested), 134.13
★ StatTrak™ Falchion Knife | Bright Water (Well-Worn), 175.00
★ StatTrak™ Falchion Knife | Bright Water (Battle-Scarred), 136.88
★ M9 Bayonet | Autotronic (Factory New), 1,700.00
★ M9 Bayonet | Autotronic (Minimal Wear), 1,272.50
★ M9 Bayonet | Autotronic (Field-Tested), 1,067.31
★ M9 Bayonet | Autotronic (Well-Worn), 1,049.99
★ M9 Bayonet | Autotronic (Battle-Scarred), 892.78
★ StatTrak™ M9 Bayonet | Autotronic (Factory New), 1,779.33
★ StatTrak™ M9 Bayonet | Autotronic (Minimal Wear), 1,149.85
★ StatTrak™ M9 Bayonet | Autotronic (Field-Tested), 1,021.04
★ StatTrak™ M9 Bayonet | Autotronic (Well-Worn), 999.28
