Item, Buff_Price
M4A1-S | Control Panel (Factory New), 32.01
StatTrak™ M4A1-S | Flashback (Field-Tested), 2.49
AK-47 | X-Ray (Field-Tested), 674.96
AK-47 | Redline (Minimal Wear), 144.21
AWP | CMYK (Factory New), 726.9
AK-47 | Frontside Misty (Battle-Scarred), 13.0
AK-47 | Gold Arabesque (Well-Worn), 1619.14
AWP | Sun in Leo (Well-Worn), 21.75
StatTrak™ AK-47 | Blue Laminate (Well-Worn), 45.28
AWP | Electric Hive (Minimal Wear), 32.86
AWP | Containment Breach (Minimal Wear), 144.76
StatTrak™ AK-47 | The Outsiders (Field-Tested), 27.99
AWP | Elite Build (Factory New), 29.02
StatTrak™ AWP | Phobos (Field-Tested), 4.2
AK-47 | Head Shot (Battle-Scarred), 6.11
AWP | Exoskeleton (Factory New), 8.2
StatTrak™ AK-47 | Case Hardened (Well-Worn), 315.44
M4A1-S | Icarus Fell (Minimal Wear), 480.12
Souvenir AK-47 | Gold Arabesque (Field-Tested), 1846.37
StatTrak™ AWP | BOOM (Minimal Wear), 212.34
StatTrak™ AWP | Worm God (Minimal Wear), 4.64
M4A1-S | Flashback (Minimal Wear), 0.88
Souvenir AK-47 | Safari Mesh (Factory New), 259.06
Souvenir AWP | Pink DDPAT (Factory New), 617.47
Souvenir M4A1-S | Mud-Spec (Factory New), 6.02
AWP | BOOM (Field-Tested), 127.2
Souvenir M4A1-S | Master Piece (Well-Worn), 102.91
StatTrak™ AK-47 | The Empress (Minimal Wear), 123.49
AK-47 | Redline (Field-Tested), 27.44
StatTrak™ AK-47 | Orbit Mk01 (Minimal Wear), 51.3
M4A1-S | Hot Rod (Minimal Wear), 945.14
Souvenir M4A1-S | Control Panel (Battle-Scarred), 42.54
StatTrak™ AK-47 | Neon Rider (Minimal Wear), 171.52
M4A1-S | Moss Quartz (Battle-Scarred), 31.97
AK-47 | Safari Mesh (Battle-Scarred), 0.07
M4A1-S | Control Panel (Battle-Scarred), 4.79
AK-47 | Rat Rod (Factory New), 9.86
Souvenir AWP | Black Nile (Factory New), 23.6
StatTrak™ AWP | Atheris (Minimal Wear), 14.67
AK-47 | Slate (Battle-Scarred), 2.88
AK-47 | Red Laminate (Minimal Wear), 106.85
AK-47 | Legion of Anubis (Battle-Scarred), 5.49
StatTrak™ M4A1-S | Night Terror (Battle-Scarred), 4.38
M4A1-S | Vaporwave (Battle-Scarred), 89.6
AWP | Man-o'-war (Minimal Wear), 38.42
AK-47 | Emerald Pinstripe (Well-Worn), 2.71
AWP | Phobos (Factory New), 2.18
StatTrak™ AK-47 | Head Shot (Factory New), 106.96
Souvenir M4A1-S | Welcome to the Jungle (Field-Tested), 862.93
AK-47 | Neon Revolution (Minimal Wear), 31.22
AK-47 | Fire Serpent (Battle-Scarred), 484.99
StatTrak™ AK-47 | Neon Revolution (Factory New), 137.08
StatTrak™ AWP | Wildfire (Minimal Wear), 149.29
AK-47 | Fuel Injector (Well-Worn), 149.43
StatTrak™ AWP | PAW (Minimal Wear), 6.67
AWP | Chromatic Aberration (Battle-Scarred), 6.96
StatTrak™ AK-47 | Asiimov (Minimal Wear), 120.89
Souvenir AWP | Black Nile (Minimal Wear), 10.23
StatTrak™ AK-47 | Leet Museo (Field-Tested), 54.61
M4A1-S | Control Panel (Well-Worn), 4.77
Souvenir AK-47 | Gold Arabesque (Battle-Scarred), 1494.0
M4A1-S | Blue Phosphor (Minimal Wear), 568.07
StatTrak™ M4A1-S | Emphorosaur-S (Factory New), 8.53
M4A1-S | Night Terror (Factory New), 1.43
Souvenir M4A1-S | Imminent Danger (Factory New), 9452.63
StatTrak™ AWP | Elite Build (Factory New), 71.34
Souvenir M4A1-S | Boreal Forest (Minimal Wear), 274.42
AK-47 | Redline (Well-Worn), 21.74
AWP | Dragon Lore (Minimal Wear), 8644.45
AK-47 | Leet Museo (Factory New), 72.38
M4A1-S | Cyrex (Factory New), 39.23
AK-47 | Fire Serpent (Well-Worn), 761.53
AK-47 | Predator (Minimal Wear), 20.62
StatTrak™ AK-47 | Cartel (Factory New), 85.0
StatTrak™ AWP | Chromatic Aberration (Well-Worn), 20.42
Souvenir M4A1-S | Nitro (Minimal Wear), 751.94
M4A1-S | Mecha Industries (Battle-Scarred), 22.19
M4A1-S | Welcome to the Jungle (Field-Tested), 970.05
StatTrak™ M4A1-S | Night Terror (Well-Worn), 3.35
StatTrak™ AK-47 | Elite Build (Battle-Scarred), 3.49
AWP | Hyper Beast (Battle-Scarred), 21.95
StatTrak™ AK-47 | Inheritance (Minimal Wear), 241.29
AK-47 | Baroque Purple (Factory New), 15.08
AK-47 | Redline (Battle-Scarred), 18.99
M4A1-S | Mud-Spec (Factory New), 1.0
AWP | Dragon Lore (Field-Tested), 6270.75
StatTrak™ AWP | Chrome Cannon (Field-Tested), 68.2
M4A1-S | Mecha Industries (Well-Worn), 26.76
AWP | Dragon Lore (Battle-Scarred), 4665.06
Souvenir M4A1-S | Master Piece (Field-Tested), 128.91
StatTrak™ AK-47 | Point Disarray (Well-Worn), 41.03
StatTrak™ AWP | Containment Breach (Factory New), 562.52
M4A1-S | Mecha Industries (Minimal Wear), 49.05
StatTrak™ AWP | BOOM (Field-Tested), 185.1
AWP | Crakow! (Minimal Wear), 141.74
M4A1-S | Knight (Factory New), 3003.38
StatTrak™ AK-47 | Leet Museo (Factory New), 151.55
StatTrak™ AWP | Duality (Factory New), 24.34
StatTrak™ AK-47 | Rat Rod (Factory New), 35.88
AWP | Wildfire (Well-Worn), 47.89
StatTrak™ M4A1-S | Dark Water (Minimal Wear), 126.92
StatTrak™ M4A1-S | Dark Water (Field-Tested), 109.77
AWP | Gungnir (Factory New), 11855.43
M4A1-S | Boreal Forest (Battle-Scarred), 0.06
M4A1-S | Black Lotus (Well-Worn), 9.6
StatTrak™ AWP | Capillary (Field-Tested), 1.34
StatTrak™ AWP | Electric Hive (Well-Worn), 0
Souvenir AWP | Black Nile (Field-Tested), 6.35
Souvenir M4A1-S | Knight (Factory New), 2579.65
StatTrak™ AWP | Oni Taiji (Well-Worn), 315.6
AK-47 | Nightwish (Field-Tested), 8.09
AK-47 | Fire Serpent (Minimal Wear), 1163.38
StatTrak™ AK-47 | Case Hardened (Field-Tested), 384.2
AWP | Fade (Minimal Wear), 933.07
AWP | Capillary (Minimal Wear), 0.57
StatTrak™ AK-47 | Blue Laminate (Factory New), 42.54
StatTrak™ M4A1-S | Emphorosaur-S (Minimal Wear), 3.36
AK-47 | Case Hardened (Well-Worn), 187.85
AWP | The Prince (Field-Tested), 2030.72
AK-47 | Legion of Anubis (Factory New), 13.79
AWP | Capillary (Factory New), 2.32
AK-47 | X-Ray (Factory New), 1768.71
Souvenir AK-47 | Steel Delta (Well-Worn), 8.09
AWP | Medusa (Minimal Wear), 2317.3
AWP | Electric Hive (Field-Tested), 32.28
AK-47 | Black Laminate (Well-Worn), 34.3
StatTrak™ AWP | Atheris (Battle-Scarred), 6.61
AK-47 | Cartel (Minimal Wear), 13.6
AWP | Crakow! (Well-Worn), 75.47
M4A1-S | Basilisk (Battle-Scarred), 6.04
StatTrak™ AK-47 | Nightwish (Minimal Wear), 37.87
AK-47 | Uncharted (Field-Tested), 0.33
StatTrak™ M4A1-S | Atomic Alloy (Factory New), 123.49
Souvenir M4A1-S | Nitro (Well-Worn), 0
AK-47 | Red Laminate (Well-Worn), 67.92
StatTrak™ M4A1-S | Basilisk (Battle-Scarred), 18.72
StatTrak™ AK-47 | Slate (Field-Tested), 11.66
AWP | PAW (Battle-Scarred), 1.77
AWP | Chromatic Aberration (Factory New), 14.75
AWP | POP AWP (Factory New), 7.51
AK-47 | Steel Delta (Factory New), 2.5
AK-47 | Uncharted (Factory New), 1.23
AK-47 | The Outsiders (Well-Worn), 11.19
AWP | BOOM (Factory New), 331.92
StatTrak™ AWP | Mortis (Well-Worn), 6.45
StatTrak™ M4A1-S | Atomic Alloy (Battle-Scarred), 51.73
AWP | Exoskeleton (Field-Tested), 4.57
StatTrak™ AK-47 | Phantom Disruptor (Factory New), 27.58
M4A1-S | Wash me plz (Well-Worn), 0.16
AWP | Wildfire (Factory New), 128.91
AWP | The Prince (Minimal Wear), 2449.23
StatTrak™ AK-47 | Redline (Field-Tested), 76.84
StatTrak™ AK-47 | Head Shot (Well-Worn), 15.9
StatTrak™ AK-47 | Fire Serpent (Field-Tested), 1672.59
StatTrak™ AK-47 | Jaguar (Well-Worn), 102.91
AK-47 | Safety Net (Well-Worn), 3.35
StatTrak™ AK-47 | The Outsiders (Factory New), 123.77
AWP | Asiimov (Battle-Scarred), 72.52
AK-47 | Fire Serpent (Field-Tested), 794.89
AWP | CMYK (Well-Worn), 205.55
StatTrak™ AWP | Neo-Noir (Factory New), 82.26
Souvenir M4A1-S | Mud-Spec (Minimal Wear), 2.2
AK-47 | Orbit Mk01 (Battle-Scarred), 17.22
StatTrak™ AK-47 | Aquamarine Revenge (Well-Worn), 59.0
Souvenir AK-47 | Panthera onca (Minimal Wear), 197.52
Souvenir AK-47 | Safari Mesh (Field-Tested), 8.81
AWP | Snake Camo (Battle-Scarred), 94.67
StatTrak™ AK-47 | Frontside Misty (Battle-Scarred), 36.91
Souvenir AK-47 | Panthera onca (Well-Worn), 115.12
Souvenir M4A1-S | Mud-Spec (Well-Worn), 3.09
AK-47 | Uncharted (Battle-Scarred), 0.35
Souvenir AK-47 | Green Laminate (Well-Worn), 25.29
AK-47 | Elite Build (Minimal Wear), 2.2
StatTrak™ AWP | Containment Breach (Battle-Scarred), 113.31
AK-47 | Point Disarray (Factory New), 30.05
AWP | Duality (Battle-Scarred), 1.8
AK-47 | Jungle Spray (Factory New), 96.74
StatTrak™ AK-47 | Aquamarine Revenge (Minimal Wear), 141.33
Souvenir M4A1-S | Welcome to the Jungle (Battle-Scarred), 547.22
AWP | Wildfire (Field-Tested), 50.77
StatTrak™ M4A1-S | Hyper Beast (Minimal Wear), 108.88
StatTrak™ M4A1-S | Basilisk (Factory New), 34.99
StatTrak™ AK-47 | Cartel (Battle-Scarred), 34.91
AWP | Black Nile (Field-Tested), 2.0
Souvenir AK-47 | Black Laminate (Field-Tested), 27.44
M4A1-S | Flashback (Battle-Scarred), 0.35
StatTrak™ AK-47 | Uncharted (Field-Tested), 1.96
StatTrak™ AK-47 | Fire Serpent (Battle-Scarred), 1166.33
AK-47 | Jet Set (Minimal Wear), 361.29
StatTrak™ AK-47 | Phantom Disruptor (Field-Tested), 10.91
AK-47 | Gold Arabesque (Field-Tested), 1921.02
AWP | Phobos (Minimal Wear), 1.44
StatTrak™ M4A1-S | Nightmare (Factory New), 100.3
AK-47 | Elite Build (Well-Worn), 1.11
AK-47 | Green Laminate (Field-Tested), 16.26
StatTrak™ M4A1-S | Basilisk (Minimal Wear), 21.75
StatTrak™ AWP | Atheris (Well-Worn), 6.7
AK-47 | Legion of Anubis (Well-Worn), 6.56
AWP | Safari Mesh (Battle-Scarred), 0.05
StatTrak™ AK-47 | Uncharted (Well-Worn), 2.85
M4A1-S | Cyrex (Field-Tested), 19.74
M4A1-S | Basilisk (Well-Worn), 9.45
StatTrak™ AWP | Wildfire (Battle-Scarred), 90.56
AWP | Atheris (Field-Tested), 3.43
AWP | Containment Breach (Factory New), 295.01
StatTrak™ AWP | Hyper Beast (Field-Tested), 62.98
AWP | Exoskeleton (Battle-Scarred), 3.1
AK-47 | Jaguar (Battle-Scarred), 53.13
AK-47 | Fuel Injector (Minimal Wear), 232.92
AWP | Containment Breach (Battle-Scarred), 50.08
StatTrak™ AWP | Corticera (Factory New), 87.82
Souvenir M4A1-S | Imminent Danger (Field-Tested), 630.37
AK-47 | The Outsiders (Minimal Wear), 38.35
StatTrak™ AWP | Wildfire (Well-Worn), 102.91
Souvenir M4A1-S | Welcome to the Jungle (Minimal Wear), 1426.97
StatTrak™ AWP | Asiimov (Well-Worn), 167.27
StatTrak™ AK-47 | Point Disarray (Factory New), 83.69
AWP | Pit Viper (Minimal Wear), 0.53
StatTrak™ AWP | Mortis (Factory New), 16.17
StatTrak™ AK-47 | Blue Laminate (Field-Tested), 28.82
StatTrak™ M4A1-S | Decimator (Well-Worn), 31.01
StatTrak™ AWP | Worm God (Factory New), 7.27
AK-47 | Cartel (Field-Tested), 11.36
AWP | Capillary (Field-Tested), 0.27
M4A1-S | Night Terror (Well-Worn), 0.82
M4A1-S | Nightmare (Factory New), 43.22
StatTrak™ AK-47 | Nightwish (Factory New), 116.56
StatTrak™ AK-47 | Leet Museo (Battle-Scarred), 54.41
StatTrak™ AWP | Exoskeleton (Minimal Wear), 10.24
AK-47 | Fuel Injector (Field-Tested), 187.92
Souvenir AWP | Acheron (Well-Worn), 9.32
StatTrak™ M4A1-S | Player Two (Battle-Scarred), 39.35
AWP | Hyper Beast (Factory New), 83.7
AWP | Crakow! (Field-Tested), 117.46
AK-47 | Baroque Purple (Minimal Wear), 6.99
M4A1-S | Boreal Forest (Field-Tested), 0.07
AK-47 | Emerald Pinstripe (Field-Tested), 2.96
AK-47 | Leet Museo (Well-Worn), 19.88
StatTrak™ AWP | Chrome Cannon (Minimal Wear), 115.88
M4A1-S | Moss Quartz (Well-Worn), 43.91
AWP | Medusa (Factory New), 4618.68
StatTrak™ AWP | Mortis (Battle-Scarred), 5.9
Souvenir AK-47 | Steel Delta (Minimal Wear), 5.28
M4A1-S | Nightmare (Minimal Wear), 17.7
AK-47 | Leet Museo (Battle-Scarred), 19.14
M4A1-S | Blood Tiger (Minimal Wear), 4.31
AK-47 | Inheritance (Factory New), 190.73
StatTrak™ AK-47 | Inheritance (Field-Tested), 141.95
AK-47 | Black Laminate (Factory New), 128.79
StatTrak™ AWP | Oni Taiji (Minimal Wear), 547.56
StatTrak™ AK-47 | Slate (Battle-Scarred), 10.7
StatTrak™ AK-47 | Frontside Misty (Minimal Wear), 56.94
Souvenir M4A1-S | Boreal Forest (Well-Worn), 0
M4A1-S | Blue Phosphor (Factory New), 555.93
M4A1-S | Guardian (Field-Tested), 17.98
M4A1-S | Nightmare (Battle-Scarred), 8.01
M4A1-S | Briefing (Well-Worn), 3.96
M4A1-S | Leaded Glass (Minimal Wear), 6.16
AWP | PAW (Factory New), 3.97
AWP | The Prince (Well-Worn), 1852.34
M4A1-S | Printstream (Well-Worn), 179.75
StatTrak™ AK-47 | Jaguar (Field-Tested), 156.43
AK-47 | Olive Polycam (Field-Tested), 0.26
Souvenir AWP | Acheron (Factory New), 32.25
AK-47 | Black Laminate (Battle-Scarred), 34.92
AK-47 | Legion of Anubis (Field-Tested), 5.47
AK-47 | Wasteland Rebel (Factory New), 201.98
AWP | Chrome Cannon (Minimal Wear), 74.78
AWP | Crakow! (Battle-Scarred), 55.57
AWP | Atheris (Minimal Wear), 5.87
AK-47 | Head Shot (Well-Worn), 6.11
StatTrak™ AK-47 | Head Shot (Battle-Scarred), 17.56
AWP | Capillary (Well-Worn), 0.65
StatTrak™ M4A1-S | Cyrex (Well-Worn), 62.2
M4A1-S | Player Two (Field-Tested), 19.76
M4A1-S | Master Piece (Battle-Scarred), 98.05
StatTrak™ AK-47 | The Empress (Well-Worn), 63.74
AWP | Medusa (Well-Worn), 1591.7
AWP | Redline (Well-Worn), 54.68
StatTrak™ AK-47 | Fuel Injector (Field-Tested), 333.43
StatTrak™ AK-47 | Wasteland Rebel (Field-Tested), 94.28
M4A1-S | Nitro (Factory New), 3.56
AK-47 | Case Hardened (Field-Tested), 222.01
AK-47 | Phantom Disruptor (Minimal Wear), 5.72
Souvenir AK-47 | Gold Arabesque (Factory New), 4089.03
StatTrak™ AK-47 | Slate (Factory New), 40.05
M4A1-S | Moss Quartz (Factory New), 57.38
Souvenir AK-47 | Steel Delta (Battle-Scarred), 4.94
AK-47 | Blue Laminate (Minimal Wear), 11.58
StatTrak™ AK-47 | Legion of Anubis (Factory New), 43.77
AWP | Medusa (Field-Tested), 1850.35
M4A1-S | Flashback (Well-Worn), 0.37
AK-47 | Aquamarine Revenge (Battle-Scarred), 22.71
Souvenir AWP | Dragon Lore (Field-Tested), 45281.15
AK-47 | Black Laminate (Minimal Wear), 33.14
StatTrak™ M4A1-S | Printstream (Battle-Scarred), 198.69
M4A1-S | Cyrex (Minimal Wear), 27.57
AK-47 | Gold Arabesque (Minimal Wear), 2325.74
M4A1-S | Fade (Factory New), 438.88
StatTrak™ M4A1-S | Guardian (Battle-Scarred), 196.81
AK-47 | Baroque Purple (Well-Worn), 6.31
StatTrak™ AK-47 | Orbit Mk01 (Factory New), 80.0
M4A1-S | Welcome to the Jungle (Well-Worn), 596.89
StatTrak™ AK-47 | Legion of Anubis (Well-Worn), 25.38
M4A1-S | Mecha Industries (Factory New), 109.57
M4A1-S | Master Piece (Field-Tested), 130.35
AK-47 | Bloodsport (Minimal Wear), 152.24
AK-47 | Emerald Pinstripe (Battle-Scarred), 2.7
StatTrak™ AK-47 | Red Laminate (Battle-Scarred), 121.85
AK-47 | Point Disarray (Battle-Scarred), 10.38
StatTrak™ AWP | Lightning Strike (Minimal Wear), 823.29
AWP | CMYK (Minimal Wear), 397.93
AWP | POP AWP (Minimal Wear), 5.79
AK-47 | Orbit Mk01 (Minimal Wear), 18.99
AK-47 | Rat Rod (Minimal Wear), 4.62
Souvenir AK-47 | Green Laminate (Minimal Wear), 13.86
AK-47 | Ice Coaled (Battle-Scarred), 4.12
Souvenir AWP | Pink DDPAT (Battle-Scarred), 20.38
M4A1-S | Black Lotus (Minimal Wear), 12.39
AK-47 | Leet Museo (Field-Tested), 18.14
M4A1-S | Briefing (Minimal Wear), 4.65
StatTrak™ M4A1-S | Nightmare (Battle-Scarred), 20.29
M4A1-S | Player Two (Well-Worn), 19.99
AK-47 | B the Monster (Battle-Scarred), 150.11
AK-47 | Red Laminate (Factory New), 315.46
AWP | Containment Breach (Field-Tested), 78.35
AK-47 | Olive Polycam (Well-Worn), 0.33
Souvenir M4A1-S | Welcome to the Jungle (Well-Worn), 560.92
Souvenir AWP | Black Nile (Well-Worn), 12.07
StatTrak™ M4A1-S | Vaporwave (Battle-Scarred), 105.38
M4A1-S | Nitro (Well-Worn), 0.55
AWP | Sun in Leo (Factory New), 33.38
AK-47 | Aquamarine Revenge (Well-Worn), 23.12
AWP | Acheron (Factory New), 1.92
AK-47 | B the Monster (Well-Worn), 223.66
StatTrak™ AK-47 | Nightwish (Battle-Scarred), 14.54
AK-47 | Leet Museo (Minimal Wear), 32.56
AK-47 | Nightwish (Well-Worn), 6.56
StatTrak™ AK-47 | The Empress (Factory New), 297.69
AK-47 | The Empress (Factory New), 149.43
M4A1-S | Chantico's Fire (Factory New), 134.27
StatTrak™ M4A1-S | Atomic Alloy (Field-Tested), 54.89
AWP | Chrome Cannon (Battle-Scarred), 20.03
AK-47 | Jet Set (Factory New), 823.23
AK-47 | Steel Delta (Battle-Scarred), 1.76
AK-47 | Jaguar (Factory New), 233.27
M4A1-S | Hyper Beast (Well-Worn), 15.28
M4A1-S | Nightmare (Field-Tested), 9.1
StatTrak™ M4A1-S | Printstream (Factory New), 850.43
M4A1-S | Boreal Forest (Well-Worn), 0.07
AWP | Snake Camo (Factory New), 192.1
StatTrak™ M4A1-S | Black Lotus (Battle-Scarred), 22.64
AWP | Desert Hydra (Battle-Scarred), 1207.43
StatTrak™ AK-47 | Inheritance (Factory New), 459.47
AK-47 | Fuel Injector (Battle-Scarred), 139.69
StatTrak™ AWP | Chromatic Aberration (Battle-Scarred), 17.06
M4A1-S | Chantico's Fire (Field-Tested), 25.93
M4A1-S | Imminent Danger (Well-Worn), 0
AK-47 | Vulcan (Factory New), 701.03
StatTrak™ AK-47 | Cartel (Field-Tested), 38.3
AK-47 | Bloodsport (Well-Worn), 136.94
AWP | Acheron (Well-Worn), 0.96
StatTrak™ M4A1-S | Golden Coil (Factory New), 297.14
StatTrak™ AK-47 | Neon Rider (Field-Tested), 85.6
StatTrak™ AK-47 | Wasteland Rebel (Battle-Scarred), 152.45
StatTrak™ AK-47 | Orbit Mk01 (Battle-Scarred), 48.44
M4A1-S | Chantico's Fire (Battle-Scarred), 18.9
AK-47 | Vulcan (Battle-Scarred), 134.33
AWP | Desert Hydra (Well-Worn), 1411.95
AK-47 | Rat Rod (Well-Worn), 3.14
StatTrak™ M4A1-S | Briefing (Minimal Wear), 14.34
StatTrak™ AWP | Containment Breach (Minimal Wear), 263.18
Souvenir M4A1-S | Master Piece (Minimal Wear), 198.35
AWP | PAW (Field-Tested), 1.52
AWP | Atheris (Battle-Scarred), 2.69
StatTrak™ M4A1-S | Flashback (Battle-Scarred), 2.88
StatTrak™ M4A1-S | Golden Coil (Battle-Scarred), 88.26
AWP | Fever Dream (Minimal Wear), 12.06
AWP | Oni Taiji (Field-Tested), 226.95
StatTrak™ AWP | Neo-Noir (Minimal Wear), 59.83
M4A1-S | Mud-Spec (Minimal Wear), 0.29
M4A1-S | Printstream (Battle-Scarred), 143.6
StatTrak™ M4A1-S | Decimator (Minimal Wear), 41.16
StatTrak™ AK-47 | Vulcan (Factory New), 1344.71
StatTrak™ AK-47 | Nightwish (Well-Worn), 15.23
M4A1-S | Imminent Danger (Minimal Wear), 1051.62
AWP | Containment Breach (Well-Worn), 53.45
StatTrak™ AWP | Capillary (Factory New), 9.02
StatTrak™ M4A1-S | Vaporwave (Field-Tested), 136.94
M4A1-S | Icarus Fell (Factory New), 467.38
AK-47 | Ice Coaled (Minimal Wear), 7.96
StatTrak™ M4A1-S | Basilisk (Field-Tested), 16.74
Souvenir M4A1-S | Knight (Minimal Wear), 2744.31
StatTrak™ AK-47 | Vulcan (Well-Worn), 230.11
AWP | Pink DDPAT (Battle-Scarred), 32.18
AK-47 | The Empress (Battle-Scarred), 25.99
Souvenir M4A1-S | Boreal Forest (Factory New), 0
StatTrak™ M4A1-S | Guardian (Minimal Wear), 57.63
AWP | Exoskeleton (Minimal Wear), 5.02
AK-47 | Phantom Disruptor (Field-Tested), 3.8
StatTrak™ AK-47 | Ice Coaled (Battle-Scarred), 9.95
AK-47 | Orbit Mk01 (Factory New), 25.18
AWP | Redline (Minimal Wear), 78.42
StatTrak™ AWP | Fever Dream (Minimal Wear), 22.57
AWP | Black Nile (Well-Worn), 2.71
Souvenir AWP | Safari Mesh (Minimal Wear), 507.7
M4A1-S | Black Lotus (Battle-Scarred), 9.32
AK-47 | Asiimov (Battle-Scarred), 26.69
StatTrak™ AK-47 | Legion of Anubis (Field-Tested), 16.81
AK-47 | Phantom Disruptor (Battle-Scarred), 3.86
StatTrak™ AK-47 | Redline (Minimal Wear), 308.6
StatTrak™ AK-47 | Case Hardened (Minimal Wear), 487.8
StatTrak™ AK-47 | The Outsiders (Minimal Wear), 60.1
AWP | Hyper Beast (Field-Tested), 24.01
Souvenir AWP | Desert Hydra (Battle-Scarred), 1152.61
Souvenir M4A1-S | Boreal Forest (Battle-Scarred), 0
M4A1-S | Guardian (Factory New), 23.87
AK-47 | Inheritance (Field-Tested), 111.34
AK-47 | Jungle Spray (Well-Worn), 4.2
Souvenir AK-47 | Safety Net (Factory New), 46.65
Souvenir AWP | Acheron (Field-Tested), 5.49
StatTrak™ AWP | Duality (Field-Tested), 5.61
AK-47 | Safari Mesh (Factory New), 1.67
AK-47 | Point Disarray (Minimal Wear), 15.92
StatTrak™ AWP | Elite Build (Minimal Wear), 38.96
AWP | Mortis (Field-Tested), 1.85
M4A1-S | Night Terror (Battle-Scarred), 1.24
Souvenir AWP | Acheron (Minimal Wear), 8.37
AWP | Wildfire (Battle-Scarred), 37.32
AWP | Oni Taiji (Factory New), 386.12
AWP | Corticera (Minimal Wear), 14.75
Souvenir M4A1-S | VariCamo (Well-Worn), 23.33
Souvenir AK-47 | Safety Net (Field-Tested), 15.29
AWP | Duality (Field-Tested), 2.06
AK-47 | The Outsiders (Field-Tested), 14.82
AK-47 | The Outsiders (Battle-Scarred), 10.29
AK-47 | Olive Polycam (Factory New), 0.68
M4A1-S | Basilisk (Factory New), 10.7
AK-47 | Emerald Pinstripe (Minimal Wear), 4.33
StatTrak™ AK-47 | Asiimov (Battle-Scarred), 66.64
M4A1-S | Golden Coil (Minimal Wear), 112.31
AK-47 | Vulcan (Minimal Wear), 449.66
Souvenir AWP | Pink DDPAT (Well-Worn), 21.89
Souvenir AWP | Acheron (Battle-Scarred), 5.72
StatTrak™ M4A1-S | Black Lotus (Factory New), 57.19
M4A1-S | Leaded Glass (Factory New), 11.24
AWP | Neo-Noir (Minimal Wear), 24.7
AWP | Acheron (Field-Tested), 0.4
StatTrak™ M4A1-S | Hyper Beast (Factory New), 311.96
AK-47 | Wild Lotus (Factory New), 13172.56
StatTrak™ M4A1-S | Emphorosaur-S (Well-Worn), 2.48
Souvenir AK-47 | Gold Arabesque (Well-Worn), 1571.12
AK-47 | Elite Build (Factory New), 5.35
M4A1-S | VariCamo (Field-Tested), 0.58
StatTrak™ AWP | Mortis (Minimal Wear), 7.35
M4A1-S | Night Terror (Minimal Wear), 0.75
M4A1-S | Imminent Danger (Field-Tested), 637.5
M4A1-S | Hot Rod (Factory New), 929.64
StatTrak™ M4A1-S | Player Two (Minimal Wear), 94.68
StatTrak™ AWP | Chrome Cannon (Well-Worn), 46.24
AK-47 | Point Disarray (Well-Worn), 10.96
Souvenir M4A1-S | Welcome to the Jungle (Factory New), 4802.55
StatTrak™ AK-47 | Vulcan (Battle-Scarred), 173.77
AK-47 | Neon Revolution (Well-Worn), 25.8
StatTrak™ AWP | Neo-Noir (Well-Worn), 59.89
M4A1-S | Nitro (Field-Tested), 0.31
M4A1-S | Control Panel (Field-Tested), 5.11
M4A1-S | Decimator (Minimal Wear), 16.19
M4A1-S | Decimator (Well-Worn), 13.16
StatTrak™ AWP | Containment Breach (Field-Tested), 148.6
M4A1-S | Decimator (Field-Tested), 10.91
StatTrak™ AK-47 | Rat Rod (Well-Worn), 10.15
Souvenir AK-47 | Black Laminate (Factory New), 590.03
StatTrak™ AK-47 | Leet Museo (Minimal Wear), 93.62
AWP | Pink DDPAT (Field-Tested), 32.04
StatTrak™ AK-47 | Head Shot (Field-Tested), 21.95
StatTrak™ M4A1-S | Nightmare (Field-Tested), 21.68
AK-47 | Aquamarine Revenge (Factory New), 127.61
Souvenir AWP | Pink DDPAT (Field-Tested), 18.48
AWP | Hyper Beast (Minimal Wear), 43.21
AWP | Redline (Field-Tested), 41.16
StatTrak™ M4A1-S | Night Terror (Minimal Wear), 2.71
M4A1-S | Master Piece (Well-Worn), 102.64
AWP | Elite Build (Battle-Scarred), 13.62
StatTrak™ AWP | Worm God (Well-Worn), 5.9
AWP | The Prince (Battle-Scarred), 1920.88
AK-47 | Steel Delta (Minimal Wear), 1.65
AWP | Acheron (Battle-Scarred), 0.31
AWP | Electric Hive (Well-Worn), 68.4
StatTrak™ AK-47 | Leet Museo (Well-Worn), 57.42
M4A1-S | Master Piece (Minimal Wear), 203.08
StatTrak™ AK-47 | Frontside Misty (Well-Worn), 32.56
AWP | Silk Tiger (Field-Tested), 161.23
AK-47 | Case Hardened (Minimal Wear), 251.1
AWP | Mortis (Minimal Wear), 3.16
StatTrak™ AWP | BOOM (Factory New), 548.86
StatTrak™ M4A1-S | Decimator (Factory New), 77.94
StatTrak™ M4A1-S | Chantico's Fire (Well-Worn), 49.26
StatTrak™ AK-47 | Wasteland Rebel (Factory New), 1067.13
StatTrak™ AK-47 | The Outsiders (Well-Worn), 23.94
AK-47 | Neon Revolution (Factory New), 79.45
StatTrak™ AK-47 | Asiimov (Well-Worn), 70.8
M4A1-S | Welcome to the Jungle (Battle-Scarred), 576.31
StatTrak™ M4A1-S | Flashback (Well-Worn), 2.62
StatTrak™ AK-47 | Elite Build (Well-Worn), 3.69
StatTrak™ AWP | Duality (Minimal Wear), 10.69
StatTrak™ M4A1-S | Player Two (Well-Worn), 0
